08BEAC0A05F0	臺南市市立南化國中	[716]臺南市南化區南化里227號
08BEAC0A0836	臺南市市立仁德文賢國中	[717]臺南市仁德區保安里中正路一段185號
08BEAC0A0830	臺南市市立仁德國中	[717]臺南市仁德區民安路一段363號
08BEAC0A0838	臺南市市立關廟國中	[718]臺南市關廟區中山路二段172號
08BEAC0A047E	臺南市市立龍崎國中	[719]臺南市龍崎區新市子258號
08BEAC0A0528	臺南市市立官田國中	[720]臺南市官田區隆田里三民路29號
08BEAC0A052A	臺南市市立麻豆國中	[721]臺南市麻豆區南勢里36號
08BEAC0A080E	臺南市市立佳里國中	[722]臺南市佳里區安南路523號
08BEAC0A066A	臺南市市立佳興國中	[722]臺南市佳里區民安里新宅34之1號
08BEAC0A06E4	臺南市市立西港國中	[723]臺南市西港區文化路41號
08BEAC0A0730	臺南市市立後港國中	[724]臺南市七股區大潭里頂潭93號
08BEAC0A06DC	臺南市市立竹橋國中	[724]臺南市七股區義合里74之2號
08BEAC0A06F6	臺南市市立將軍國中	[725]臺南市將軍區忠嘉里昌平1之1號
08BEAC0A053A	臺南市市立學甲國中	[726]臺南市學甲區華宗路540號
08BEAC0A06EE	臺南市市立北門國中	[727]臺南市北門區永華里1之1號
08BEAC0A0538	臺南市市立新東國中	[730]臺南市新營區民治東路30號
08BEAC0A05B4	臺南市市立南新國中	[730]臺南市新營區民治路65號
08BEAC0A072E	臺南市市立太子國中	[730]臺南市新營區太北里140之21號
08BEAC0A0600	臺南市市立後壁國中	[731]臺南市後壁區嘉苳里124之20號
08BEAC0A05FA	臺南市市立菁寮國中	[731]臺南市後壁區長短樹里8鄰長短樹8之3號
08BEAC0A0700	臺南市市立白河國中	[732]臺南市白河區昇安里三間厝220號
08BEAC0A06E8	臺南市市立東原國中	[733]臺南市東山區東原里瓦厝70號
08BEAC0A0616	臺南市市立東山國中	[733]臺南市東山區東中里青葉路一段132號
08BEAC0A07F0	臺南市市立六甲國中	[734]臺南市六甲區民權街43號
08BEAC0A072A	臺南市市立下營國中	[735]臺南市下營區中山路一段412號
08BEAC0A04BA	臺南市市立柳營國中	[736]臺南市柳營區東昇里中山東路二段956號
08BEAC0A0644	臺南市市立鹽水國中	[737]臺南市鹽水區三福路63號
08BEAC0A05E0	臺南市市立善化國中	[741]臺南市善化區溪美里656號
08BEAC0A089A	臺南市市立大內國中	[742]臺南市大內區內江里319之1號
08BEAC0A0736	臺南市市立山上國中	[743]臺南市山上區山上里130號
08BEAC0A0790	臺南市市立新市國中	[744]臺南市新市區民族路76號
08BEAC0A06F4	臺南市市立安定國中	[745]臺南市安定區安加里262之1號
08BEAC0A06DA	臺南市市立大灣高中附設國中	[710]臺南市永康區文賢街68巷1號
08BEAC0A0742	臺南市市立永仁高中附設國中	[710]臺南市永康區忠孝路74號
08BEAC0A071A	臺南市市立南寧高中附設國中	[702]臺南市南區萬年路167號
08BEAC0A06E2	臺南市市立土城高中附設國中	[709]臺南市安南區安中路五段265號
08BEAC0A0708	臺南市南科實中	74146台南市新市區三舍里大順六路12巷6號
